"ID"	"variable"	"value"
"195"	"NDSU17"	"IncHI1A_1"	0
"196"	"NDSU18"	"IncHI1A_1"	0
"197"	"NDSU19"	"IncHI1A_1"	0
"198"	"NDSU1"	"IncHI1A_1"	0
"199"	"NDSU20"	"IncHI1A_1"	0
"200"	"NDSU21"	"IncHI1A_1"	0
"201"	"NDSU22"	"IncHI1A_1"	0
"202"	"NDSU24"	"IncHI1A_1"	0
"203"	"NDSU25"	"IncHI1A_1"	0
"204"	"NDSU26"	"IncHI1A_1"	0
"205"	"NDSU28"	"IncHI1A_1"	0
"206"	"NDSU29"	"IncHI1A_1"	0
"207"	"NDSU2"	"IncHI1A_1"	0
"208"	"NDSU30"	"IncHI1A_1"	0
"209"	"NDSU3"	"IncHI1A_1"	0
"210"	"NDSU4"	"IncHI1A_1"	0
"211"	"NDSU5"	"IncHI1A_1"	0
"212"	"NDSU6"	"IncHI1A_1"	0
"213"	"NDSU7"	"IncHI1A_1"	0
"214"	"NDSU8"	"IncHI1A_1"	0
"215"	"NDSU9"	"IncHI1A_1"	0
"216"	"ARS10"	"IncHI1B.R27._1_R27"	0
"217"	"ARS11"	"IncHI1B.R27._1_R27"	0
"218"	"ARS12"	"IncHI1B.R27._1_R27"	0
"219"	"ARS13"	"IncHI1B.R27._1_R27"	0
"220"	"ARS14"	"IncHI1B.R27._1_R27"	0
"221"	"ARS15"	"IncHI1B.R27._1_R27"	0
"222"	"ARS16"	"IncHI1B.R27._1_R27"	0
"223"	"ARS17"	"IncHI1B.R27._1_R27"	0
"224"	"ARS18"	"IncHI1B.R27._1_R27"	1
"225"	"ARS1"	"IncHI1B.R27._1_R27"	0
"226"	"ARS2"	"IncHI1B.R27._1_R27"	0
"227"	"ARS3"	"IncHI1B.R27._1_R27"	0
"228"	"ARS4"	"IncHI1B.R27._1_R27"	0
"229"	"ARS5"	"IncHI1B.R27._1_R27"	0
"230"	"ARS6"	"IncHI1B.R27._1_R27"	0
"231"	"ARS7"	"IncHI1B.R27._1_R27"	0
"232"	"ARS8"	"IncHI1B.R27._1_R27"	0
"233"	"ARS9"	"IncHI1B.R27._1_R27"	0
"234"	"NDSU10"	"IncHI1B.R27._1_R27"	0
"235"	"NDSU13"	"IncHI1B.R27._1_R27"	0
"236"	"NDSU15"	"IncHI1B.R27._1_R27"	0
"237"	"NDSU16"	"IncHI1B.R27._1_R27"	0
"238"	"NDSU17"	"IncHI1B.R27._1_R27"	0
"239"	"NDSU18"	"IncHI1B.R27._1_R27"	0
"240"	"NDSU19"	"IncHI1B.R27._1_R27"	0
"241"	"NDSU1"	"IncHI1B.R27._1_R27"	0
"242"	"NDSU20"	"IncHI1B.R27._1_R27"	0
"243"	"NDSU21"	"IncHI1B.R27._1_R27"	0
"244"	"NDSU22"	"IncHI1B.R27._1_R27"	0
"245"	"NDSU24"	"IncHI1B.R27._1_R27"	0
"246"	"NDSU25"	"IncHI1B.R27._1_R27"	0
"247"	"NDSU26"	"IncHI1B.R27._1_R27"	0
"248"	"NDSU28"	"IncHI1B.R27._1_R27"	0
"249"	"NDSU29"	"IncHI1B.R27._1_R27"	0
"250"	"NDSU2"	"IncHI1B.R27._1_R27"	0
"251"	"NDSU30"	"IncHI1B.R27._1_R27"	0
"252"	"NDSU3"	"IncHI1B.R27._1_R27"	0
"253"	"NDSU4"	"IncHI1B.R27._1_R27"	0
"254"	"NDSU5"	"IncHI1B.R27._1_R27"	0
"255"	"NDSU6"	"IncHI1B.R27._1_R27"	0
"256"	"NDSU7"	"IncHI1B.R27._1_R27"	0
"257"	"NDSU8"	"IncHI1B.R27._1_R27"	0
"258"	"NDSU9"	"IncHI1B.R27._1_R27"	0
"259"	"ARS10"	"IncN_1"	0
"260"	"ARS11"	"IncN_1"	0
"261"	"ARS12"	"IncN_1"	0
"262"	"ARS13"	"IncN_1"	0
"263"	"ARS14"	"IncN_1"	0
"264"	"ARS15"	"IncN_1"	1
"265"	"ARS16"	"IncN_1"	0
"266"	"ARS17"	"IncN_1"	0
"267"	"ARS18"	"IncN_1"	0
"268"	"ARS1"	"IncN_1"	0
"269"	"ARS2"	"IncN_1"	0
"270"	"ARS3"	"IncN_1"	0
"271"	"ARS4"	"IncN_1"	0
"272"	"ARS5"	"IncN_1"	0
"273"	"ARS6"	"IncN_1"	0
"274"	"ARS7"	"IncN_1"	0
"275"	"ARS8"	"IncN_1"	0
"276"	"ARS9"	"IncN_1"	0
"277"	"NDSU10"	"IncN_1"	0
"278"	"NDSU13"	"IncN_1"	0
"279"	"NDSU15"	"IncN_1"	0
"280"	"NDSU16"	"IncN_1"	0
"281"	"NDSU17"	"IncN_1"	0
"282"	"NDSU18"	"IncN_1"	0
"283"	"NDSU19"	"IncN_1"	0
"284"	"NDSU1"	"IncN_1"	0
"285"	"NDSU20"	"IncN_1"	0
"286"	"NDSU21"	"IncN_1"	0
"287"	"NDSU22"	"IncN_1"	0
"288"	"NDSU24"	"IncN_1"	0
"289"	"NDSU25"	"IncN_1"	0
"290"	"NDSU26"	"IncN_1"	0
"291"	"NDSU28"	"IncN_1"	0
"292"	"NDSU29"	"IncN_1"	0
"293"	"NDSU2"	"IncN_1"	0
"294"	"NDSU30"	"IncN_1"	0
"295"	"NDSU3"	"IncN_1"	0
"296"	"NDSU4"	"IncN_1"	0
"297"	"NDSU5"	"IncN_1"	0
"298"	"NDSU6"	"IncN_1"	0
"299"	"NDSU7"	"IncN_1"	0
"300"	"NDSU8"	"IncN_1"	0
"301"	"NDSU9"	"IncN_1"	0
"302"	"ARS10"	"IncX1_1"	1
"303"	"ARS11"	"IncX1_1"	1
"304"	"ARS12"	"IncX1_1"	1
"305"	"ARS13"	"IncX1_1"	1
"306"	"ARS14"	"IncX1_1"	1
"307"	"ARS15"	"IncX1_1"	1
"308"	"ARS16"	"IncX1_1"	1
"309"	"ARS17"	"IncX1_1"	1
"310"	"ARS18"	"IncX1_1"	1
"311"	"ARS1"	"IncX1_1"	1
"312"	"ARS2"	"IncX1_1"	1
"313"	"ARS3"	"IncX1_1"	1
